year,country,ec,GDP
1976,Morocco,235.0247002,523.837337
1977,Morocco,252.5016262,589.7001079
1978,Morocco,261.422373,689.3818559
1979,Morocco,272.3025386,808.5414825
1980,Morocco,270.0741919,1077.242942
1981,Morocco,264.7594403,860.4683258
1982,Morocco,268.9601728,835.1401895
1983,Morocco,273.1369326,748.8667871
1984,Morocco,275.1745766,667.3331806
1985,Morocco,274.2204771,659.8335018
1986,Morocco,276.7861793,838.4335711
1987,Morocco,278.1805726,918.6288626
1988,Morocco,286.3479903,1063.760775
1989,Morocco,305.1065364,1068.325714
1990,Morocco,306.2193558,1202.567531
1991,Morocco,315.9846314,1263.06008
1992,Morocco,328.8042174,1295.422632
1993,Morocco,335.4222712,1195.595322
1994,Morocco,353.4285085,1322.8704
1995,Morocco,344.889307,1428.066182
1996,Morocco,357.381737,1556.786387
1997,Morocco,363.5509233,1393.224149
1998,Morocco,365.9284032,1469.031945
1999,Morocco,384.4227127,1444.989055
2000,Morocco,381.9412047,1332.382358
2001,Morocco,400.2777139,1336.775376
2002,Morocco,402.2984194,1413.757176
2003,Morocco,396.0797464,1721.973863
2004,Morocco,464.6797961,1948.812275
2005,Morocco,486.3576211,2013.755559
2006,Morocco,489.0107811,2191.478567
2007,Morocco,498.5971092,2494.353552
2008,Morocco,511.6337686,2884.94776
2009,Morocco,508.9911981,2861.554005
2010,Morocco,527.0243831,2834.20472
2011,Morocco,560.1093502,3039.916016
2012,Morocco,559.9277658,2904.746728
2013,Morocco,554.1448044,3111.762887
2014,Morocco,553.1039584,3154.513484
1971,Mexico,799.9571434,729.7269384
1972,Mexico,856.8416961,814.7351558
1973,Mexico,917.5160688,965.0739089
1974,Mexico,946.6381888,1218.517547
1975,Mexico,971.6144422,1445.646984
1976,Mexico,1010.63847,1421.60052
1977,Mexico,1063.644972,1271.474634
1978,Mexico,1158.897053,1552.101676
1979,Mexico,1240.068478,1987.32863
1980,Mexico,1371.297644,2957.562153
1981,Mexico,1430.555077,3718.145871
1982,Mexico,1463.949722,2542.737149
1983,Mexico,1348.745901,2104.669325
1984,Mexico,1379.776646,2431.512599
1985,Mexico,1404.003896,2523.500591
1986,Mexico,1338.689572,1704.587166
1987,Mexico,1380.498506,1832.734718
1988,Mexico,1370.446677,2212.510711
1989,Mexico,1404.018472,2645.235944
1990,Mexico,1448.968363,3060.685213
1991,Mexico,1491.302896,3596.386019
1992,Mexico,1474.000541,4088.309214
1993,Mexico,1469.468613,5526.860507
1994,Mexico,1474.087108,5715.409999
1995,Mexico,1401.229536,3828.717023
1996,Mexico,1407.545547,4294.978983
1997,Mexico,1456.876383,5143.96112
1998,Mexico,1474.174242,5327.811901
1999,Mexico,1494.359479,5984.341068
2000,Mexico,1474.592344,6959.388717
2001,Mexico,1506.720352,7341.882478
2002,Mexico,1495.442583,7398.80102
2003,Mexico,1565.077651,6903.949188
2004,Mexico,1562.085315,7310.961631
2005,Mexico,1646.774813,8089.409036
2006,Mexico,1659.516347,8859.715354
2007,Mexico,1622.971122,9412.827939
2008,Mexico,1580.662138,9765.717028
2009,Mexico,1557.400198,7792.24773
2010,Mexico,1489.637449,9016.457927
2011,Mexico,1541.834073,9912.582362
2012,Mexico,1586.612978,9940.468561
2013,Mexico,1567.683404,10400.56316
2014,Mexico,1513.259208,10582.41053
1971,Norway,3414.316639,3736.348737
1972,Norway,3503.429948,4413.575692
1973,Norway,3608.101223,5689.588807
1974,Norway,3580.59955,6811.527337
1975,Norway,3651.680815,8204.451512
1976,Norway,3962.232921,8927.201627
1977,Norway,4060.106277,10266.12067
1978,Norway,4360.470706,11462.64159
1979,Norway,4467.19363,13046.53722
1980,Norway,4491.906981,15772.24091
1981,Norway,4414.964063,15512.5067
1982,Norway,4262.391711,15224.89391
1983,Norway,4427.792925,14927.51748
1984,Norway,4672.13755,14989.48577
1985,Norway,4815.313896,15753.55277
1986,Norway,5024.076188,18883.2658
1987,Norway,5048.499309,22505.89771
1988,Norway,4817.155673,24207.28147
1989,Norway,4984.198116,24281.09614
1990,Norway,4966.893577,28242.94374
1991,Norway,5105.108205,28596.933
1992,Norway,5159.648619,30523.98506
1993,Norway,5459.623408,27963.66522
1994,Norway,5315.24487,29315.84191
1995,Norway,5391.414081,34875.19739
1996,Norway,5202.047275,37321.44339
1997,Norway,5475.188739,36628.51742
1998,Norway,5684.788594,34788.77856
1999,Norway,5913.302209,36371.39579
2000,Norway,5826.077769,38146.71539
2001,Norway,5954.041771,38549.58934
2002,Norway,5501.117744,43061.15038
2003,Norway,5933.215841,50111.65445
2004,Norway,5769.326707,57570.26916
2005,Norway,5802.71629,66775.3944
2006,Norway,5833.773935,74114.69715
2007,Norway,5862.217261,85170.86217
2008,Norway,6752.708982,97007.94189
2009,Norway,6484.118585,80067.17664
2010,Norway,6934.590199,87770.26684
2011,Norway,5649.697724,100711.2248
2012,Norway,5906.141048,101668.1707
2013,Norway,6415.990714,103059.2482
2014,Norway,5595.654625,97199.9191
1971,Nepal,298.7418579,72.09916683
1972,Nepal,300.6922956,81.93164703
1973,Nepal,303.3934231,76.15393652
1974,Nepal,302.9795703,93.39845199
1975,Nepal,302.0786573,118.2508817
1976,Nepal,300.889208,106.6574596
1977,Nepal,301.7947389,99.26570379
1978,Nepal,301.6798275,112.6407628
1979,Nepal,304.8195366,127.087889
1980,Nepal,306.1133474,130.5794725
1981,Nepal,304.3056566,149.2282657
1982,Nepal,305.5270645,153.4820036
1983,Nepal,308.3090341,153.1933431
1984,Nepal,308.874549,157.8986466
1985,Nepal,304.6859846,156.656353
1986,Nepal,307.9691314,166.7014708
1987,Nepal,306.9108315,169.1704562
1988,Nepal,307.1911321,195.0920171
1989,Nepal,304.125495,192.7037175
1990,Nepal,308.7654084,193.4761241
1991,Nepal,310.5564162,203.7653978
1992,Nepal,309.6165972,172.0062101
1993,Nepal,309.2311345,180.109746
1994,Nepal,311.8230442,194.8890676
1995,Nepal,313.6839384,205.6938414
1996,Nepal,313.7912192,206.4330066
1997,Nepal,316.8993046,219.684466
1998,Nepal,318.4957936,212.4689465
1999,Nepal,329.5370281,215.9805921
2000,Nepal,341.5081671,231.4255004
2001,Nepal,346.6045151,248.618098
2002,Nepal,344.6766718,246.3075621
2003,Nepal,348.9683204,253.7200412
2004,Nepal,348.9786364,287.4001056
2005,Nepal,356.1434394,317.089198
2006,Nepal,351.9955847,348.6314534
2007,Nepal,355.0679125,393.8843518
2008,Nepal,363.8664944,473.8444409
2009,Nepal,370.9151788,480.7200909
2010,Nepal,377.8467319,592.1835216
2011,Nepal,386.7382131,692.1166842
2012,Nepal,365.362293,681.7925868
2013,Nepal,401.3713981,688.6172788
2014,Nepal,412.724483,706.2386977
1971,Pakistan,285.4551248,177.6271771
1972,Pakistan,285.1779903,151.7667702
1973,Pakistan,291.2892512,100.3002884
1974,Pakistan,300.046386,135.2384426
1975,Pakistan,304.6913243,169.7912357
1976,Pakistan,299.1966515,193.8360824
1977,Pakistan,302.5904928,213.2045555
1978,Pakistan,305.4667155,243.460837
1979,Pakistan,312.8963384,260.7990451
1980,Pakistan,317.1546515,303.4489557
1981,Pakistan,328.8687075,348.2239075
1982,Pakistan,336.8487543,368.2144528
1983,Pakistan,343.5264626,332.4759569
1984,Pakistan,343.3534446,349.1223981
1985,Pakistan,349.8926496,337.726019
1986,Pakistan,353.4679985,334.8475502
1987,Pakistan,376.1306373,339.0848412
1988,Pakistan,382.7060473,379.13579
1989,Pakistan,392.2216489,384.086429
1990,Pakistan,398.405481,371.5726219
1991,Pakistan,397.2694315,410.4740209
1992,Pakistan,411.9303664,427.5727635
1993,Pakistan,421.7290069,440.9293265
1994,Pakistan,427.9854139,433.2885836
1995,Pakistan,435.8736088,493.661508
1996,Pakistan,447.3937043,502.7867074
1997,Pakistan,448.0860414,483.6529366
1998,Pakistan,446.8247226,470.2489295
1999,Pakistan,460.8049621,465.0757661
2000,Pakistan,462.4698873,533.8624114
2001,Pakistan,459.7973889,510.6568157
2002,Pakistan,455.1508075,499.8600033
2003,Pakistan,465.9840297,563.594342
2004,Pakistan,489.3707467,649.8048233
2005,Pakistan,497.120431,711.4699463
2006,Pakistan,507.3739962,873.7702727
2007,Pakistan,523.7634649,950.4327931
2008,Pakistan,504.5500706,1039.312088
2009,Pakistan,501.6978253,1006.603999
2010,Pakistan,498.4769482,1040.142268
2011,Pakistan,491.7777217,1226.215314
2012,Pakistan,487.0444964,1261.208967
2013,Pakistan,488.4269635,1272.441061
2014,Pakistan,484.4452184,1316.980966
1971,Qatar,7753.32429,3246.416836
1972,Qatar,7800.994377,3909.019418
1973,Qatar,10071.44213,5581.262562
1974,Qatar,8008.835164,15623.55715
1975,Qatar,12413.72641,15283.36587
1976,Qatar,8790.883361,18893.1023
1977,Qatar,9513.897491,19828.55013
1978,Qatar,8442.317003,21093.95143
1979,Qatar,13717.73828,27436.16
1980,Qatar,14799.60675,34986.45788
1981,Qatar,16709.53156,34904.18371
1982,Qatar,17338.6963,27385.77057
1983,Qatar,16047.85462,20898.29135
1984,Qatar,16474.84734,19634.78591
1985,Qatar,15217.33799,16582.08439
1986,Qatar,15073.61559,12698.20459
1987,Qatar,14647.59756,12895.80856
1988,Qatar,14576.09161,13605.83296
1989,Qatar,14350.31286,14047.05239
1990,Qatar,13698.28627,15448.66548
1991,Qatar,14814.29196,14120.29449
1992,Qatar,15239.44688,15430.65926
1993,Qatar,15621.9979,14268.49837
1994,Qatar,15509.50019,14542.54286
1995,Qatar,15870.8397,15849.31879
1996,Qatar,16555.07138,17344.95693
1997,Qatar,19031.75411,21132.8714
1998,Qatar,19388.47992,18631.78792
1999,Qatar,19875.20876,21763.45098
2000,Qatar,18438.15036,29986.29015
2001,Qatar,19562.26434,28430.63635
2002,Qatar,21142.15244,29990.65492
2003,Qatar,20523.32316,34176.98183
2004,Qatar,21959.43626,41818.35256
2005,Qatar,19268.69458,51488.49529
2006,Qatar,19389.46557,60256.55926
2007,Qatar,18607.43355,67005.61258
2008,Qatar,16371.35277,82967.37228
2009,Qatar,15233.91921,61478.23813
2010,Qatar,15531.77601,70306.22784
2011,Qatar,16030.60725,85948.07046
2012,Qatar,18055.61139,88564.82298
2013,Qatar,17926.71807,88304.87958
2014,Qatar,18562.66691,86852.71019
1971,Russian Federation,,
1972,Russian Federation,,
1973,Russian Federation,,
1974,Russian Federation,,
1975,Russian Federation,,
1976,Russian Federation,,
1977,Russian Federation,,
1978,Russian Federation,,
1979,Russian Federation,,
1980,Russian Federation,,
1981,Russian Federation,,
1982,Russian Federation,,
1983,Russian Federation,,
1984,Russian Federation,,
1985,Russian Federation,,
1986,Russian Federation,,
1987,Russian Federation,,
1988,Russian Federation,,
1989,Russian Federation,4493.695,3428.762153
1990,Russian Federation,5928.660986,3485.112306
1991,Russian Federation,5861.15803,3485.056
1992,Russian Federation,5351.077074,3095.659779
1993,Russian Federation,5057.778845,2929.462119
1994,Russian Federation,4428.814206,2663.394599
1995,Russian Federation,4290.695231,2665.739722
1996,Russian Federation,4252.614116,2643.897696
1997,Russian Federation,4069.688778,2737.556662
1998,Russian Federation,3981.501949,1834.846937
1999,Russian Federation,4136.761934,1330.751464
2000,Russian Federation,4224.286188,1771.586602
2001,Russian Federation,4288.394353,2100.362386
2002,Russian Federation,4288.207161,2375.059044
2003,Russian Federation,4461.316454,2975.132778
2004,Russian Federation,4493.695387,4102.372294
2005,Russian Federation,4540.917363,5323.473877
2006,Russian Federation,4688.394596,6920.194398
2007,Russian Federation,4709.845744,9101.253085
2008,Russian Federation,4823.126535,11635.26037
2009,Russian Federation,4531.286685,8562.809598
2010,Russian Federation,4819.041423,10674.98771
2011,Russian Federation,5049.428043,14351.21205
2012,Russian Federation,5167.011977,15434.57478
2013,Russian Federation,5078.629314,16007.08999
2014,Russian Federation,4942.875517,14125.90873
1971,Saudi Arabia,1206.048064,1177.652912
1972,Saudi Arabia,977.617552,1511.466643
1973,Saudi Arabia,1077.265514,2226.270427
1974,Saudi Arabia,1146.43676,6433.037132
1975,Saudi Arabia,1180.410632,6296.303434
1976,Saudi Arabia,1300.452906,8186.319712
1977,Saudi Arabia,1379.557253,9012.611634
1978,Saudi Arabia,1967.691686,9247.361643
1979,Saudi Arabia,2445.598244,12185.65301
1980,Saudi Arabia,3192.868529,16892.3634
1981,Saudi Arabia,4081.19297,17777.35338
1982,Saudi Arabia,4291.356507,13870.19442
1983,Saudi Arabia,4406.54074,10980.39996
1984,Saudi Arabia,3660.761618,9581.511759
1985,Saudi Arabia,3487.24088,7877.544967
1986,Saudi Arabia,3312.823221,6270.231994
1987,Saudi Arabia,3781.046644,5899.619098
1988,Saudi Arabia,4148.768118,5823.475825
1989,Saudi Arabia,3990.986005,6051.332708
1990,Saudi Arabia,3552.714292,7204.728651
1991,Saudi Arabia,4002.95201,7838.784024
1992,Saudi Arabia,4426.463906,7888.209563
1993,Saudi Arabia,4471.446073,7445.115492
1994,Saudi Arabia,4588.954344,7382.132166
1995,Saudi Arabia,4510.416639,7650.739369
1996,Saudi Arabia,4728.228168,8293.220703
1997,Saudi Arabia,4422.53651,8508.518662
1998,Saudi Arabia,4623.704474,7382.1606
1999,Saudi Arabia,4611.619773,7968.548574
2000,Saudi Arabia,4712.743673,9126.954277
2001,Saudi Arabia,4715.132077,8643.494005
2002,Saudi Arabia,5078.498896,8655.311531
2003,Saudi Arabia,4990.770124,9567.458285
2004,Saudi Arabia,5157.480362,11138.80746
2005,Saudi Arabia,5126.341367,13739.82945
2006,Saudi Arabia,5525.01843,15334.66994
2007,Saudi Arabia,5556.713378,16472.16605
2008,Saudi Arabia,6034.523262,20037.83234
2009,Saudi Arabia,6250.328114,16094.2931
2010,Saudi Arabia,6763.336882,19259.58726
2011,Saudi Arabia,6307.892055,23770.74739
2012,Saudi Arabia,6888.066388,25303.09462
2013,Saudi Arabia,6417.917148,24934.38614
2014,Saudi Arabia,6937.230677,24575.40304
1971,Sweden,4450.382511,5060.342739
1972,Sweden,4527.21372,5942.148771
1973,Sweden,4773.811403,7198.271657
1974,Sweden,4510.443011,7975.850516
1975,Sweden,4764.499013,9974.657321
1976,Sweden,5151.251367,10715.03809
1977,Sweden,5054.833764,11287.19913
1978,Sweden,5016.74042,12442.57512
1979,Sweden,5229.618271,14667.40312
1980,Sweden,4871.533239,16856.76109
1981,Sweden,5097.154463,15366.66859
1982,Sweden,4877.799897,13545.25912
1983,Sweden,4941.267011,12430.45893
1984,Sweden,5216.257817,12914.33068
1985,Sweden,5656.192899,13474.16135
1986,Sweden,5878.801467,17727.49533
1987,Sweden,5763.070441,21485.29387
1988,Sweden,5854.499662,24188.76594
1989,Sweden,5594.552973,25300.39512
1990,Sweden,5514.55753,30162.31577
1991,Sweden,5650.541377,31374.11699
1992,Sweden,5369.370357,32338.50395
1993,Sweden,5334.166498,24080.89967
1994,Sweden,5660.271423,25747.24169
1995,Sweden,5702.165043,29914.33175
1996,Sweden,5825.097913,32587.2641
1997,Sweden,5672.008177,29897.79263
1998,Sweden,5769.695064,30143.62746
1999,Sweden,5661.491459,30577.08177
2000,Sweden,5360.145147,29283.00505
2001,Sweden,5680.280487,26969.24457
2002,Sweden,5802.110105,29571.70446
2003,Sweden,5650.43805,36961.42537
2004,Sweden,5847.344163,42442.22045
2005,Sweden,5711.127283,43085.35315
2006,Sweden,5529.077953,46256.4716
2007,Sweden,5472.135392,53324.37937
2008,Sweden,5379.959103,55746.84238
2009,Sweden,4883.20049,46207.0592
2010,Sweden,5427.925046,52076.25591
2011,Sweden,5274.643613,59593.28711
2012,Sweden,5269.485998,57134.07707
2013,Sweden,5146.53359,60283.24522
2014,Sweden,4966.435921,59180.19898
1971,Syrian Arab Republic,361.9220446,394.1421481
1972,Syrian Arab Republic,291.0985228,449.9439294
1973,Syrian Arab Republic,292.4838846,460.295068
1974,Syrian Arab Republic,363.4115991,708.4212256
1975,Syrian Arab Republic,405.1264419,905.9500887
1976,Syrian Arab Republic,443.5591947,979.3277657
1977,Syrian Arab Republic,476.8013097,954.7632405
1978,Syrian Arab Republic,504.0006391,1112.612528
1979,Syrian Arab Republic,631.7037825,1151.175406
1980,Syrian Arab Republic,499.9777175,1462.630341
1981,Syrian Arab Republic,576.2144014,1677.126244
1982,Syrian Arab Republic,666.8414627,1699.532805
1983,Syrian Arab Republic,737.8338755,1769.740953
1984,Syrian Arab Republic,820.0502106,1700.476019
1985,Syrian Arab Republic,735.4977616,1540.436791
1986,Syrian Arab Republic,730.9979252,1208.004425
1987,Syrian Arab Republic,787.4000119,999.5919067
1988,Syrian Arab Republic,790.6068664,902.5495583
1989,Syrian Arab Republic,769.8383437,815.6485164
1990,Syrian Arab Republic,840.8455098,988.9486722
1991,Syrian Arab Republic,889.7357119,1013.001286
1992,Syrian Arab Republic,827.2187523,1005.041364
1993,Syrian Arab Republic,808.2731509,1009.716411
1994,Syrian Arab Republic,820.0390302,725.6085921
1995,Syrian Arab Republic,843.3330833,794.445153
1996,Syrian Arab Republic,865.6753248,934.5505657
1997,Syrian Arab Republic,913.8041316,955.7091761
1998,Syrian Arab Republic,990.5490312,974.2751917
1999,Syrian Arab Republic,960.706457,991.1204287
2000,Syrian Arab Republic,940.8858701,1177.629268
2001,Syrian Arab Republic,944.7569285,1258.421953
2002,Syrian Arab Republic,963.2417697,1263.013455
2003,Syrian Arab Republic,949.882936,1253.391403
2004,Syrian Arab Republic,970.9179801,1408.852738
2005,Syrian Arab Republic,1136.499431,1577.457182
2006,Syrian Arab Republic,1143.509083,1762.246107
2007,Syrian Arab Republic,1153.211976,2058.035209
2008,Syrian Arab Republic,1136.533359,2557.21
2009,Syrian Arab Republic,1032.009672,2557.21
2010,Syrian Arab Republic,1030.496173,2806.69
2011,Syrian Arab Republic,953.4096374,
2012,Syrian Arab Republic,726.9747988,
2013,Syrian Arab Republic,587.4364264,
2014,Syrian Arab Republic,562.5354045,
1971,Trinidad and Tobago,2757.822842,937.668546
1972,Trinidad and Tobago,2772.885632,1118.339209
1973,Trinidad and Tobago,2685.520542,1331.986683
1974,Trinidad and Tobago,2682.520388,2048.067557
1975,Trinidad and Tobago,2294.997479,2414.920141
1976,Trinidad and Tobago,2513.208106,2437.859973
1977,Trinidad and Tobago,2808.505993,3018.642425
1978,Trinidad and Tobago,3328.188738,3379.451083
1979,Trinidad and Tobago,3398.717922,4304.534246
1980,Trinidad and Tobago,3527.043936,5745.680796
1981,Trinidad and Tobago,3686.286229,6341.703581
1982,Trinidad and Tobago,3648.183893,7264.26625
1983,Trinidad and Tobago,3721.302636,6818.225729
1984,Trinidad and Tobago,4142.438965,6712.050613
1985,Trinidad and Tobago,4347.690037,6299.207438
1986,Trinidad and Tobago,4493.944095,4049.187446
1987,Trinidad and Tobago,4188.631304,4014.04712
1988,Trinidad and Tobago,4558.476977,3732.15885
1989,Trinidad and Tobago,4394.351957,3562.107229
1990,Trinidad and Tobago,4900.006547,4147.638923
1991,Trinidad and Tobago,4838.271512,4315.696945
1992,Trinidad and Tobago,5286.282603,4395.644513
1993,Trinidad and Tobago,5030.995486,3752.380464
1994,Trinidad and Tobago,5036.347553,3956.758089
1995,Trinidad and Tobago,4899.904462,4246.382404
1996,Trinidad and Tobago,5779.262598,4577.004528
1997,Trinidad and Tobago,5437.908808,4551.321854
1998,Trinidad and Tobago,6304.78194,4786.92537
1999,Trinidad and Tobago,7348.544998,5383.552427
2000,Trinidad and Tobago,7759.753278,6430.947262
2001,Trinidad and Tobago,8635.762901,6935.721451
2002,Trinidad and Tobago,9356.802941,7049.626612
2003,Trinidad and Tobago,10413.69275,8804.518666
2004,Trinidad and Tobago,10876.63721,10290.51914
2005,Trinidad and Tobago,12426.38793,12323.12705
2006,Trinidad and Tobago,13798.83727,14096.18668
2007,Trinidad and Tobago,14608.00987,16529.65801
2008,Trinidad and Tobago,14117.1889,21189.12927
2009,Trinidad and Tobago,14203.1525,14506.58604
2010,Trinidad and Tobago,15109.18756,16683.42242
2011,Trinidad and Tobago,14791.36387,19004.15714
2012,Trinidad and Tobago,14346.84046,19083.21481
2013,Trinidad and Tobago,14537.4842,19713.37929
2014,Trinidad and Tobago,14446.74945,20081.52191
1971,Turkey,547.127806,455.1053041
1972,Turkey,603.2862017,558.421564
1973,Turkey,649.9432994,686.4906344
1974,Turkey,656.8477899,927.8001104
1975,Turkey,681.2173349,1136.376695
1976,Turkey,724.4870434,1275.958161
1977,Turkey,776.7657235,1427.373253
1978,Turkey,756.4633723,1549.646128
1979,Turkey,703.5491309,2079.222784
1980,Turkey,715.1489789,1564.24898
1981,Turkey,704.7918799,1579.075709
1982,Turkey,732.2256077,1402.408081
1983,Turkey,757.9530972,1310.256988
1984,Turkey,771.3419381,1246.825842
1985,Turkey,800.2803483,1368.402906
1986,Turkey,844.9393518,1510.678089
1987,Turkey,919.1970244,1705.89612
1988,Turkey,908.4106484,1745.366939
1989,Turkey,926.5934762,2021.861437
1990,Turkey,977.6642424,2794.353551
1991,Turkey,947.7563045,2735.710807
1992,Turkey,961.9322363,2842.373598
1993,Turkey,1004.13715,3180.192011
1994,Turkey,976.4889532,2270.340362
1995,Turkey,1052.699705,2897.870208
1996,Turkey,1126.18203,3053.950828
1997,Turkey,1166.228816,3144.389453
1998,Turkey,1169.881961,4496.509486
1999,Turkey,1131.092351,4108.114652
2000,Turkey,1201.087297,4316.561103
2001,Turkey,1094.197712,3119.606218
2002,Turkey,1139.392452,3660.07113
2003,Turkey,1178.443863,4718.455282
2004,Turkey,1204.721939,6040.879696
2005,Turkey,1240.166421,7384.259107
2006,Turkey,1354.67707,8034.611206
2007,Turkey,1436.844738,9709.721346
2008,Turkey,1401.349136,10850.87194
2009,Turkey,1370.788494,9036.268076
2010,Turkey,1474.669692,10672.40036
2011,Turkey,1546.203319,11340.82227
2012,Turkey,1585.400239,11720.31301
2013,Turkey,1542.968242,12542.72093
2014,Turkey,1577.827978,12127.46146
1971,United States,7644.524802,5623.443978
1972,United States,7940.997832,6109.925868
1973,United States,8163.603792,6741.332364
1974,United States,7909.58648,7242.441105
1975,United States,7656.263579,7820.065471
1976,United States,8100.562222,8611.401839
1977,United States,8285.570898,9471.306172
1978,United States,8438.403077,10587.28576
1979,United States,8327.041705,11695.55442
1980,United States,7942.253018,12597.66751
1981,United States,7647.538054,13993.16674
1982,United States,7259.078899,14438.97628
1983,United States,7199.118533,15561.4264
1984,United States,7443.320017,17134.28602
1985,United States,7456.262903,18269.42217
1986,United States,7376.096238,19115.05291
1987,United States,7622.173017,20100.85889
1988,United States,7849.75397,21483.23306
1989,United States,7890.287202,22922.43709
1990,United States,7671.773066,23954.47935
1991,United States,7631.467806,24405.16481
1992,United States,7677.401401,25492.95165
1993,United States,7709.496589,26464.85251
1994,United States,7757.830822,27776.63553
1995,United States,7763.755106,28782.17502
1996,United States,7844.468266,30068.23092
1997,United States,7828.581096,31572.69023
1998,United States,7803.697605,32949.19776
1999,United States,7923.223893,34620.9289
2000,United States,8056.86385,36449.85512
2001,United States,7827.886325,37273.6181
2002,United States,7843.344849,38166.03784
2003,United States,7794.23553,39677.19835
2004,United States,7881.578642,41921.80976
2005,United States,7846.499688,44307.92058
2006,United States,7697.652535,46437.06712
2007,United States,7758.165986,48061.53766
2008,United States,7488.081921,48401.42734
2009,United States,7056.783653,47001.55535
2010,United States,7161.165457,48375.40695
2011,United States,7028.58312,49793.71352
2012,United States,6869.497054,51450.95911
2013,United States,6901.786818,52782.08651
2014,United States,6955.524017,54696.72617
1971,Zimbabwe,1016.468471,407.1457497
1972,Zimbabwe,1000.908258,483.7049037
1973,Zimbabwe,1024.527487,577.8467216
1974,Zimbabwe,1003.873876,672.555267
1975,Zimbabwe,967.5118595,714.8055964
1976,Zimbabwe,990.114928,684.5540003
1977,Zimbabwe,932.8312539,671.247912
1978,Zimbabwe,899.0461545,649.1842978
1979,Zimbabwe,886.8123708,747.9942905
1980,Zimbabwe,906.2530883,932.2596107
1981,Zimbabwe,885.9760709,1077.96535
1982,Zimbabwe,859.268933,1105.958801
1983,Zimbabwe,847.2846997,967.1758497
1984,Zimbabwe,829.4857648,761.445387
1985,Zimbabwe,855.2646152,651.039658
1986,Zimbabwe,872.3985248,692.6673021
1987,Zimbabwe,920.059359,725.3857544
1988,Zimbabwe,901.4161571,813.6753821
1989,Zimbabwe,893.8796511,836.787602
1990,Zimbabwe,913.0081342,862.5865882
1991,Zimbabwe,943.7184162,827.4869403
1992,Zimbabwe,952.6127253,631.990604
1993,Zimbabwe,892.7297658,601.8668765
1994,Zimbabwe,869.4897197,619.8351382
1995,Zimbabwe,869.3319974,628.1849247
1996,Zimbabwe,850.801449,742.5726729
1997,Zimbabwe,828.5453019,728.4008356
1998,Zimbabwe,834.7594337,538.2848555
1999,Zimbabwe,877.5915727,568.4439527
2000,Zimbabwe,818.8795174,547.3588785
2001,Zimbabwe,807.1698057,548.0587312
2002,Zimbabwe,784.476812,507.3480034
2003,Zimbabwe,742.3135554,453.3511552
2004,Zimbabwe,717.1200244,454.3606654
2005,Zimbabwe,743.1335564,444.7605075
2006,Zimbabwe,750.1963348,414.796232
2007,Zimbabwe,723.9329241,396.9982166
2008,Zimbabwe,661.3147841,325.6785703
2009,Zimbabwe,661.5866553,699.8822643
2010,Zimbabwe,671.4989447,854.8476653
2011,Zimbabwe,712.5831735,980.2088242
2012,Zimbabwe,734.8366434,1163.418689
2013,Zimbabwe,749.6671096,1268.126633
2014,Zimbabwe,851.2716,1264.983826
